,is_trade,l1_name,l2_name,l3_name,stock_code,name,mc,beta
169,0,医药生物,化学制药,化学制剂,002435,长江健康,0.3546666666666667,0.2886666666666667
170,1,医药生物,化学制药,化学制剂,600200,江苏吴中,0.34,0.6946666666666667
171,0,医药生物,化学制药,化学制剂,300204,舒泰神,0.3253333333333333,0.029333333333333333
172,0,医药生物,化学制药,化学制剂,300110,华仁药业,0.31,0.19933333333333333
173,0,医药生物,化学制药,化学制剂,300255,常山药业,0.30466666666666664,0.054
174,0,医药生物,化学制药,化学制剂,300194,福安药业,0.3,0.18866666666666668
175,0,医药生物,化学制药,化学制剂,000766,通化金马,0.29733333333333334,0.06466666666666666
176,1,医药生物,化学制药,化学制剂,002923,润都股份,0.28733333333333333,0.21933333333333332
177,1,医药生物,化学制药,化学制剂,002393,力生制药,0.2853333333333333,0.4826666666666667
178,0,医药生物,化学制药,化学制剂,000931,中关村,0.2753333333333333,0.19666666666666666
179,0,医药生物,化学制药,化学制剂,002437,誉衡药业,0.27466666666666667,0.188
180,0,医药生物,化学制药,化学制剂,300436,广生堂,0.274,0.11733333333333333
181,0,医药生物,化学制药,化学制剂,600624,复旦复华,0.2713333333333333,0.24933333333333332
182,1,医药生物,化学制药,化学制剂,002900,哈三联,0.26,0.26066666666666666
183,0,医药生物,化学制药,化学制剂,688221,前沿生物-U,0.25733333333333336,0.13933333333333334
184,1,医药生物,化学制药,化学制剂,000788,北大医药,0.25333333333333335,0.17266666666666666
185,1,医药生物,化学制药,化学制剂,603811,诚意药业,0.24933333333333332,0.28
186,1,医药生物,化学制药,化学制剂,002940,昂利康,0.234,0.558
187,1,医药生物,化学制药,化学制剂,000919,金陵药业,0.23333333333333334,0.33266666666666667
188,0,医药生物,化学制药,化学制剂,300111,向日葵,0.22533333333333333,0.3413333333333333
189,1,医药生物,化学制药,化学制剂,600774,汉商集团,0.22266666666666668,0.352
190,0,医药生物,化学制药,化学制剂,300006,莱美药业,0.21866666666666668,0.10066666666666667
191,1,医药生物,化学制药,化学制剂,688799,华纳药厂,0.21333333333333335,0.27
192,0,医药生物,化学制药,化学制剂,688117,圣诺生物,0.206,0.45
193,1,医药生物,化学制药,化学制剂,600613,神奇制药,0.19866666666666666,0.158
194,0,医药生物,化学制药,化学制剂,603669,灵康药业,0.18066666666666667,0.3373333333333333
195,1,医药生物,化学制药,化学制剂,300016,北陆药业,0.172,0.17333333333333334
196,1,医药生物,化学制药,化学制剂,000153,丰原药业,0.16,0.11
197,0,医药生物,化学制药,化学制剂,603168,莎普爱思,0.142,0.02
198,0,医药生物,化学制药,化学制剂,300584,海辰药业,0.132,0.042
199,1,医药生物,化学制药,化学制剂,600513,联环药业,0.12066666666666667,0.11533333333333333
200,1,医药生物,化学制药,化学制剂,300086,康芝药业,0.111,0.22866666666666666
201,1,医药生物,化学制药,化学制剂,688189,南新制药,0.10666666666666667,0.2753333333333333
202,0,医药生物,化学制药,化学制剂,002693,双成药业,0.09533333333333334,0.2
203,0,医药生物,化学制药,化学制剂,000908,景峰医药,0.08933333333333333,0.354
204,0,医药生物,化学制药,化学制剂,301130,西点药业,0.076,0.206
205,0,医药生物,化学制药,化学制剂,002370,亚太药业,0.07533333333333334,0.27666666666666667
206,0,医药生物,化学制药,化学制剂,002826,易明医药,0.07,0.16066666666666668
207,0,医药生物,化学制药,化学制剂,301075,多瑞医药,0.062,0.13266666666666665
208,0,医药生物,化学制药,化学制剂,002898,赛隆药业,0.06,0.09
209,0,医药生物,化学制药,化学制剂,832735,德源药业,0.05533333333333333,0.126
210,0,医药生物,化学制药,化学制剂,002872,ST天圣,0.043333333333333335,0.2633333333333333
211,0,医药生物,化学制药,化学制剂,300254,仟源医药,0.042,0.23533333333333334
212,0,医药生物,化学制药,化学制剂,002742,ST三圣,0.03666666666666667,0.8233333333333334
213,0,医药生物,化学制药,化学制剂,430017,星昊医药,0.034666666666666665,0.4666666666666667
214,0,医药生物,化学制药,化学制剂,832566,梓橦宫,0.028666666666666667,0.18533333333333332
215,0,医药生物,化学制药,化学制剂,600781,退辅仁,0.007333333333333333,0.16466666666666666
216,1,医药生物,化学制药,原料药,002001,新和成,0.9253333333333333,0.5893333333333334
217,1,医药生物,化学制药,原料药,603456,九洲药业,0.8173333333333334,0.7166666666666667
218,1,医药生物,化学制药,原料药,000739,普洛药业,0.7753333333333333,0.51
219,1,医药生物,化学制药,原料药,688690,纳微科技,0.74,0.5546666666666666
220,1,医药生物,化学制药,原料药,002399,海普瑞,0.7186666666666667,0.294
221,1,医药生物,化学制药,原料药,000756,新华制药,0.6873333333333334,0.017333333333333333
222,1,医药生物,化学制药,原料药,300765,新诺威,0.6866666666666666,0.7726666666666666
223,1,医药生物,化学制药,原料药,002099,海翔药业,0.678,0.05533333333333333
224,1,医药生物,化学制药,原料药,002332,仙琚制药,0.662,0.13133333333333333
225,0,医药生物,化学制药,原料药,301246,宏源药业,0.6466666666666666,0.23133333333333334
226,1,医药生物,化学制药,原料药,605507,国邦医药,0.628,0.17933333333333334
227,1,医药生物,化学制药,原料药,600216,浙江医药,0.5966666666666667,0.392
228,1,医药生物,化学制药,原料药,605116,奥锐特,0.5786666666666667,0.11466666666666667
229,1,医药生物,化学制药,原料药,688166,博瑞医药,0.5546666666666666,0.059333333333333335
230,1,医药生物,化学制药,原料药,603229,奥翔药业,0.5446666666666666,0.14266666666666666
231,0,医药生物,化学制药,原料药,002102,冠福股份,0.54,0.10333333333333333
232,1,医药生物,化学制药,原料药,301089,拓新药业,0.534,0.009333333333333334
233,1,医药生物,化学制药,原料药,300702,天宇股份,0.5286666666666666,0.11666666666666667
234,1,医药生物,化学制药,原料药,301211,亨迪药业,0.4866666666666667,0.004666666666666667
235,1,医药生物,化学制药,原料药,300497,富祥药业,0.4706666666666667,0.4673333333333333
236,0,医药生物,化学制药,原料药,300267,尔康制药,0.444,0.32133333333333336
237,0,医药生物,化学制药,原料药,688356,键凯科技,0.43533333333333335,0.37333333333333335
238,1,医药生物,化学制药,原料药,300401,花园生物,0.41333333333333333,0.32066666666666666
239,0,医药生物,化学制药,原料药,600488,津药药业,0.406,0.09066666666666667
240,1,医药生物,化学制药,原料药,603520,司太立,0.3606666666666667,0.192
241,1,医药生物,化学制药,原料药,300636,同和药业,0.272,0.298
242,0,医药生物,化学制药,原料药,300452,山河药辅,0.26066666666666666,0.068
243,0,医药生物,化学制药,原料药,301277,新天地,0.244,0.035333333333333335
244,1,医药生物,化学制药,原料药,603538,美诺华,0.236,0.38066666666666665
245,0,医药生物,化学制药,原料药,301258,富士莱,0.20266666666666666,0.3606666666666667
